"Term","Participant.Code","Status","Stipend_influence"
"2022",1,"Tenure Track","Yes"
"2022",2,"Other","Yes"
"2022",3,"Tenure Track","Yes"
"2022",4,"Other",NA
"2022",5,"Tenure Track","Maybe"
"2022",6,"Tenure Track","Yes"
"2022",7,"Other","Maybe"
"2022",8,"Career Track","Maybe"
"2022",9,"Staff","Maybe"
"2022",10,"Career Track","No"
"2022",11,"Tenure Track","Yes"
"2022",12,"Tenure Track","Yes"
"2022",13,"Other","No"
"2022",14,"Tenure Track","Yes"
"2023",15,"Career Track","Maybe"
"2023",16,"Tenure Track","Maybe"
"2023",17,"Career Track","Maybe"
"2023",18,"Tenure Track","No"
"2023",19,"Tenure Track","Yes"
"2024",20,"Tenure Track","Maybe"
"2024",21,"Staff","Yes"
"2024",22,"Staff",NA
"2024",23,"Career Track","Yes"
"2024",24,"Other","Maybe"
"2024",25,"Staff","Yes"
"2024",7,"Tenure Track","No"
"2024",26,"Tenure Track","Maybe"
"2024",27,"Staff","No"
"2024",28,"Tenure Track","Yes"
"2024",29,"Career Track","No"
"2024",30,"Career Track","No"
"2024",31,"Staff","Yes"
