"Term","Participant.Code","Question_number","Question_text","Pre","Post"
"2022_1",1,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,3
"2022_1",1,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,4
"2022_1",1,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",2,4
"2022_1",1,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",2,4
"2022_1",1,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,3
"2022_1",1,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",2,3
"2022_1",1,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,3
"2022_1",1,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,3
"2022_1",1,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",2,4
"2022_1",1,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",1,4
"2022_1",1,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,4
"2022_1",1,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",3,4
"2022_1",1,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",2,4
"2022_1",1,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",1,4
"2022_1",1,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,4
"2022_1",1,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",1,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
